ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
462-42-9267|4299642603362022|Judith|Gomez|F|47709 Aaron Mills|Crocketts Bluff|AR|72038|34.4528|-91.2692|74|Colour technologist|1972-06-11|880858425211|adults_50up_female_rural.json|ebd233a736075668f52cfa7f6ff5c8b9|2023-02-24|02:41:49|1677202909|gas_transport|17.19|1|fraud_Friesen-Stamm|33.818564|-91.074715
462-42-9267|4299642603362022|Judith|Gomez|F|47709 Aaron Mills|Crocketts Bluff|AR|72038|34.4528|-91.2692|74|Colour technologist|1972-06-11|880858425211|adults_50up_female_rural.json|56ab07b96349f8e46f2130294f325c07|2023-02-24|00:31:39|1677195099|grocery_pos|290.29|1|fraud_Rowe, Batz and Goodwin|34.612658|-90.433482
462-42-9267|4299642603362022|Judith|Gomez|F|47709 Aaron Mills|Crocketts Bluff|AR|72038|34.4528|-91.2692|74|Colour technologist|1972-06-11|880858425211|adults_50up_female_rural.json|3f71dedb746da1a98a198296f5fb1fce|2023-02-24|03:29:00|1677205740|grocery_pos|324.98|1|fraud_Bogisich Inc|34.522738|-92.169430
462-42-9267|4299642603362022|Judith|Gomez|F|47709 Aaron Mills|Crocketts Bluff|AR|72038|34.4528|-91.2692|74|Colour technologist|1972-06-11|880858425211|adults_50up_female_rural.json|dab0ac9dacab6255fead6d7b6031fdc2|2023-02-25|15:29:07|1677335347|entertainment|601.39|1|fraud_Stark-Batz|34.669522|-90.958221
462-42-9267|4299642603362022|Judith|Gomez|F|47709 Aaron Mills|Crocketts Bluff|AR|72038|34.4528|-91.2692|74|Colour technologist|1972-06-11|880858425211|adults_50up_female_rural.json|8aa4993c748a655fe99b2461d63c5334|2023-02-25|22:04:03|1677359043|personal_care|48.63|1|fraud_Dickinson Ltd|34.493919|-90.859153
462-42-9267|4299642603362022|Judith|Gomez|F|47709 Aaron Mills|Crocketts Bluff|AR|72038|34.4528|-91.2692|74|Colour technologist|1972-06-11|880858425211|adults_50up_female_rural.json|19b10198d5aa2bdf48fae8083d6858e7|2023-04-22|00:28:16|1682116096|misc_pos|65.09|0|fraud_Turcotte-Halvorson|33.985109|-91.697054
462-42-9267|4299642603362022|Judith|Gomez|F|47709 Aaron Mills|Crocketts Bluff|AR|72038|34.4528|-91.2692|74|Colour technologist|1972-06-11|880858425211|adults_50up_female_rural.json|45e4918c3b07d1d6fc414d01627bc483|2023-05-21|05:12:52|1684638772|shopping_pos|67.59|0|fraud_Dooley Inc|35.070860|-91.186274
462-42-9267|4299642603362022|Judith|Gomez|F|47709 Aaron Mills|Crocketts Bluff|AR|72038|34.4528|-91.2692|74|Colour technologist|1972-06-11|880858425211|adults_50up_female_rural.json|1b21b1f7b5652fc0fc4ad43f74853912|2023-06-02|10:02:49|1685692969|shopping_pos|71.49|0|fraud_Dooley Inc|33.931674|-91.987763
462-42-9267|4299642603362022|Judith|Gomez|F|47709 Aaron Mills|Crocketts Bluff|AR|72038|34.4528|-91.2692|74|Colour technologist|1972-06-11|880858425211|adults_50up_female_rural.json|540f6d95bc7f8ea9c0b337902b5302a3|2023-03-06|05:27:14|1678076834|grocery_pos|30.06|0|fraud_Doyle Ltd|35.183922|-92.004434
462-42-9267|4299642603362022|Judith|Gomez|F|47709 Aaron Mills|Crocketts Bluff|AR|72038|34.4528|-91.2692|74|Colour technologist|1972-06-11|880858425211|adults_50up_female_rural.json|f35b72b8c37832e28bb64748aec7ef24|2023-03-10|08:24:15|1678433055|grocery_pos|51.76|0|fraud_Deckow-O'Conner|34.544566|-92.062295
462-42-9267|4299642603362022|Judith|Gomez|F|47709 Aaron Mills|Crocketts Bluff|AR|72038|34.4528|-91.2692|74|Colour technologist|1972-06-11|880858425211|adults_50up_female_rural.json|96d112076b25f13390ce473a27d8f829|2023-03-03|08:32:03|1677828723|grocery_pos|38.07|0|fraud_Schumm, Bauch and Ondricka|35.409062|-90.444382
462-42-9267|4299642603362022|Judith|Gomez|F|47709 Aaron Mills|Crocketts Bluff|AR|72038|34.4528|-91.2692|74|Colour technologist|1972-06-11|880858425211|adults_50up_female_rural.json|42ce99a1b6d4f8309a06ccc8a5118e2d|2023-02-13|03:19:29|1676254769|gas_transport|70.42|0|fraud_Jenkins, Hauck and Friesen|33.771351|-91.591836
462-42-9267|4299642603362022|Judith|Gomez|F|47709 Aaron Mills|Crocketts Bluff|AR|72038|34.4528|-91.2692|74|Colour technologist|1972-06-11|880858425211|adults_50up_female_rural.json|bf59a72b0ad5bbd942b2890c5912934a|2023-02-08|01:13:52|1675815232|gas_transport|47.25|0|fraud_Ledner-Pfannerstill|34.159613|-91.791233
