ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
725-81-0965|4051834738295|Laura|Sanchez|F|3116 Henderson Mountain Apt. 106|Munford|AL|36268|33.541|-85.9363|5432|Librarian, academic|1971-03-03|948331323761|adults_50up_female_urban.json|84c1221b49aeab16512b6660b52adde9|2023-02-25|00:46:26|1677282386|grocery_pos|308.85|1|fraud_Mosciski, Gislason and Mertz|34.299166|-86.791956
725-81-0965|4051834738295|Laura|Sanchez|F|3116 Henderson Mountain Apt. 106|Munford|AL|36268|33.541|-85.9363|5432|Librarian, academic|1971-03-03|948331323761|adults_50up_female_urban.json|9858afa2cdbd741ad34921897630908b|2023-02-26|22:01:48|1677445308|shopping_net|298.26|1|fraud_Kuhic LLC|32.563830|-85.528930
725-81-0965|4051834738295|Laura|Sanchez|F|3116 Henderson Mountain Apt. 106|Munford|AL|36268|33.541|-85.9363|5432|Librarian, academic|1971-03-03|948331323761|adults_50up_female_urban.json|2117cfe7906fbf43b3d11098aa525e3a|2023-02-25|23:29:03|1677364143|misc_net|906.87|1|fraud_Kuphal-Predovic|32.940324|-85.781032
725-81-0965|4051834738295|Laura|Sanchez|F|3116 Henderson Mountain Apt. 106|Munford|AL|36268|33.541|-85.9363|5432|Librarian, academic|1971-03-03|948331323761|adults_50up_female_urban.json|9c7a6884cd46871b8278cdadbb76dc74|2023-02-25|23:23:09|1677363789|misc_net|644.39|1|fraud_Lebsack and Sons|34.259949|-86.056529
725-81-0965|4051834738295|Laura|Sanchez|F|3116 Henderson Mountain Apt. 106|Munford|AL|36268|33.541|-85.9363|5432|Librarian, academic|1971-03-03|948331323761|adults_50up_female_urban.json|6ac50d8e80db8e279f5119899f523c1b|2023-02-26|22:25:11|1677446711|shopping_pos|935.75|1|fraud_Jast-McDermott|32.939013|-86.383621
725-81-0965|4051834738295|Laura|Sanchez|F|3116 Henderson Mountain Apt. 106|Munford|AL|36268|33.541|-85.9363|5432|Librarian, academic|1971-03-03|948331323761|adults_50up_female_urban.json|c7f801d643b60c5e4b6a8ef2ae947d0a|2023-02-25|23:19:43|1677363583|grocery_pos|1017.38|1|fraud_Bailey-Morar|33.679432|-86.045373
725-81-0965|4051834738295|Laura|Sanchez|F|3116 Henderson Mountain Apt. 106|Munford|AL|36268|33.541|-85.9363|5432|Librarian, academic|1971-03-03|948331323761|adults_50up_female_urban.json|cdae31dc1d3dad49e57fcf49ad004016|2023-02-26|22:20:38|1677446438|shopping_pos|982.15|1|fraud_Quitzon, Green and Bashirian|34.105097|-85.894917
725-81-0965|4051834738295|Laura|Sanchez|F|3116 Henderson Mountain Apt. 106|Munford|AL|36268|33.541|-85.9363|5432|Librarian, academic|1971-03-03|948331323761|adults_50up_female_urban.json|bd2a11eb16780db6bdcda80671da1dc2|2022-12-02|06:50:06|1669960206|gas_transport|61.90|0|fraud_Rodriguez Group|32.810231|-85.448760
725-81-0965|4051834738295|Laura|Sanchez|F|3116 Henderson Mountain Apt. 106|Munford|AL|36268|33.541|-85.9363|5432|Librarian, academic|1971-03-03|948331323761|adults_50up_female_urban.json|2448a7f73e11d44ccafcc6cb81a56498|2023-01-25|07:57:51|1674629871|misc_net|76.32|0|fraud_Kuphal-Bartoletti|34.332787|-85.985504
725-81-0965|4051834738295|Laura|Sanchez|F|3116 Henderson Mountain Apt. 106|Munford|AL|36268|33.541|-85.9363|5432|Librarian, academic|1971-03-03|948331323761|adults_50up_female_urban.json|65202a9a0f8edd10d905deecb65bc890|2023-04-16|08:58:35|1681628315|shopping_pos|58.59|0|fraud_Jacobi and Sons|33.277104|-86.643350
725-81-0965|4051834738295|Laura|Sanchez|F|3116 Henderson Mountain Apt. 106|Munford|AL|36268|33.541|-85.9363|5432|Librarian, academic|1971-03-03|948331323761|adults_50up_female_urban.json|692c212f4b2bea41a9e093ac41e13074|2023-06-17|09:08:25|1686985705|food_dining|74.14|0|fraud_McKenzie-Huels|33.626878|-86.770180
725-81-0965|4051834738295|Laura|Sanchez|F|3116 Henderson Mountain Apt. 106|Munford|AL|36268|33.541|-85.9363|5432|Librarian, academic|1971-03-03|948331323761|adults_50up_female_urban.json|e155eb19f4852dbe84ee163284a4c335|2023-04-02|00:45:27|1680389127|shopping_pos|60.86|0|fraud_Jewess LLC|34.012829|-86.794745
725-81-0965|4051834738295|Laura|Sanchez|F|3116 Henderson Mountain Apt. 106|Munford|AL|36268|33.541|-85.9363|5432|Librarian, academic|1971-03-03|948331323761|adults_50up_female_urban.json|67645e40aa12f83783bae9ba1b202401|2023-04-08|11:35:50|1680946550|shopping_pos|85.92|0|fraud_Botsford Ltd|33.773913|-86.179496
725-81-0965|4051834738295|Laura|Sanchez|F|3116 Henderson Mountain Apt. 106|Munford|AL|36268|33.541|-85.9363|5432|Librarian, academic|1971-03-03|948331323761|adults_50up_female_urban.json|14ed72992d0dd40408873317f119861d|2023-04-14|02:37:49|1681432669|shopping_pos|70.65|0|fraud_Stoltenberg-Beatty|33.478587|-86.263596
725-81-0965|4051834738295|Laura|Sanchez|F|3116 Henderson Mountain Apt. 106|Munford|AL|36268|33.541|-85.9363|5432|Librarian, academic|1971-03-03|948331323761|adults_50up_female_urban.json|5828db3bb6359209b541f7d87692bf7e|2022-12-25|09:08:00|1671955680|grocery_pos|64.52|0|fraud_Doyle Ltd|33.877220|-85.684806
725-81-0965|4051834738295|Laura|Sanchez|F|3116 Henderson Mountain Apt. 106|Munford|AL|36268|33.541|-85.9363|5432|Librarian, academic|1971-03-03|948331323761|adults_50up_female_urban.json|cb7eda67064915a2ca469ed373736c3e|2023-04-11|00:48:42|1681166922|shopping_pos|80.56|0|fraud_Bahringer, Schoen and Corkery|33.187744|-86.277004
725-81-0965|4051834738295|Laura|Sanchez|F|3116 Henderson Mountain Apt. 106|Munford|AL|36268|33.541|-85.9363|5432|Librarian, academic|1971-03-03|948331323761|adults_50up_female_urban.json|91510d376d1785f631d4767ec95d1a52|2022-11-25|11:44:13|1669373053|gas_transport|89.05|0|fraud_Friesen-D'Amore|32.585901|-85.168124
725-81-0965|4051834738295|Laura|Sanchez|F|3116 Henderson Mountain Apt. 106|Munford|AL|36268|33.541|-85.9363|5432|Librarian, academic|1971-03-03|948331323761|adults_50up_female_urban.json|7d0a8e2235c237ff4dc6a64a548e7a69|2023-03-06|05:35:47|1678077347|shopping_net|51.89|0|fraud_Cormier LLC|33.263238|-86.778932
725-81-0965|4051834738295|Laura|Sanchez|F|3116 Henderson Mountain Apt. 106|Munford|AL|36268|33.541|-85.9363|5432|Librarian, academic|1971-03-03|948331323761|adults_50up_female_urban.json|855e880c91894101fd89029010d6bfae|2022-12-14|02:33:59|1670981639|grocery_net|66.27|0|fraud_Swift, Bradtke and Marquardt|32.690233|-86.371785
725-81-0965|4051834738295|Laura|Sanchez|F|3116 Henderson Mountain Apt. 106|Munford|AL|36268|33.541|-85.9363|5432|Librarian, academic|1971-03-03|948331323761|adults_50up_female_urban.json|9f2884cb2ffb0fc1077fd11eba38c3bc|2023-05-31|06:55:53|1685508953|entertainment|76.63|0|fraud_Effertz, Welch and Schowalter|33.645855|-85.578696
725-81-0965|4051834738295|Laura|Sanchez|F|3116 Henderson Mountain Apt. 106|Munford|AL|36268|33.541|-85.9363|5432|Librarian, academic|1971-03-03|948331323761|adults_50up_female_urban.json|aa48bc8cd911a126ac0239bf19246add|2023-02-17|06:11:55|1676610715|misc_pos|66.23|0|fraud_Stiedemann Inc|33.935509|-86.887002
