ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
474-78-4359|2463425073305596|John|Thomas|M|7598 Madison Rue Apt. 991|Smiley|TX|78159|29.2655|-97.6227|1023|Hotel manager|1952-08-19|67574524011|adults_50up_male_rural.json|0eed9a22cdf0d1403395892860fbcca6|2023-06-25|17:04:23|1687705463|misc_net|663.95|1|fraud_Hayes, Marquardt and Dibbert|29.720482|-96.667243
474-78-4359|2463425073305596|John|Thomas|M|7598 Madison Rue Apt. 991|Smiley|TX|78159|29.2655|-97.6227|1023|Hotel manager|1952-08-19|67574524011|adults_50up_male_rural.json|38ac950ec3004053ca2da03a7246d83d|2023-06-26|23:37:43|1687815463|shopping_pos|721.10|1|fraud_Baumbach, Strosin and Nicolas|28.655228|-97.862115
474-78-4359|2463425073305596|John|Thomas|M|7598 Madison Rue Apt. 991|Smiley|TX|78159|29.2655|-97.6227|1023|Hotel manager|1952-08-19|67574524011|adults_50up_male_rural.json|9731cae298cc5eae84ce29740de5148a|2023-06-26|22:27:56|1687811276|shopping_pos|930.52|1|fraud_Baumbach, Strosin and Nicolas|29.664350|-97.390661
474-78-4359|2463425073305596|John|Thomas|M|7598 Madison Rue Apt. 991|Smiley|TX|78159|29.2655|-97.6227|1023|Hotel manager|1952-08-19|67574524011|adults_50up_male_rural.json|17ea1e2a1e130f69ae3f5aca4a788abb|2023-06-25|23:21:34|1687728094|shopping_net|1014.41|1|fraud_Kuhic, Bins and Pfeffer|28.831695|-97.117783
474-78-4359|2463425073305596|John|Thomas|M|7598 Madison Rue Apt. 991|Smiley|TX|78159|29.2655|-97.6227|1023|Hotel manager|1952-08-19|67574524011|adults_50up_male_rural.json|af346032f85f6ccbc86b6cd4aed73078|2023-06-25|22:37:16|1687725436|misc_net|955.57|1|fraud_Kuphal-Bartoletti|29.803905|-96.836424
474-78-4359|2463425073305596|John|Thomas|M|7598 Madison Rue Apt. 991|Smiley|TX|78159|29.2655|-97.6227|1023|Hotel manager|1952-08-19|67574524011|adults_50up_male_rural.json|ad97603687b14c3a8137f0c86fb72d8d|2023-06-25|23:13:19|1687727599|misc_net|996.54|1|fraud_Huel-Langworth|28.296991|-97.008552
474-78-4359|2463425073305596|John|Thomas|M|7598 Madison Rue Apt. 991|Smiley|TX|78159|29.2655|-97.6227|1023|Hotel manager|1952-08-19|67574524011|adults_50up_male_rural.json|d6483ffc6dfe376fb6d10a84e2e488a0|2023-06-26|22:42:54|1687812174|shopping_pos|795.54|1|fraud_Weimann, Kuhic and Beahan|28.770717|-97.795383
474-78-4359|2463425073305596|John|Thomas|M|7598 Madison Rue Apt. 991|Smiley|TX|78159|29.2655|-97.6227|1023|Hotel manager|1952-08-19|67574524011|adults_50up_male_rural.json|eb83e9ce626e07334058efddeb36814b|2023-06-26|23:38:24|1687815504|travel|682.65|1|fraud_Ankunding-Carroll|29.615113|-97.688240
474-78-4359|2463425073305596|John|Thomas|M|7598 Madison Rue Apt. 991|Smiley|TX|78159|29.2655|-97.6227|1023|Hotel manager|1952-08-19|67574524011|adults_50up_male_rural.json|7ca88d4d3a3eefcfaf998d042ae4183d|2023-06-26|23:35:38|1687815338|shopping_net|653.94|1|fraud_Rempel Inc|28.314187|-98.048486
474-78-4359|2463425073305596|John|Thomas|M|7598 Madison Rue Apt. 991|Smiley|TX|78159|29.2655|-97.6227|1023|Hotel manager|1952-08-19|67574524011|adults_50up_male_rural.json|27c24ac24cc4a10504443099c46364a5|2023-06-26|23:39:41|1687815581|entertainment|9.30|1|fraud_Thiel-Thiel|30.195049|-98.215273
474-78-4359|2463425073305596|John|Thomas|M|7598 Madison Rue Apt. 991|Smiley|TX|78159|29.2655|-97.6227|1023|Hotel manager|1952-08-19|67574524011|adults_50up_male_rural.json|80984eab610e89535fe896b66098058f|2023-01-17|07:04:55|1673935495|gas_transport|48.73|0|fraud_Schaefer, McGlynn and Bosco|29.038779|-96.895877
474-78-4359|2463425073305596|John|Thomas|M|7598 Madison Rue Apt. 991|Smiley|TX|78159|29.2655|-97.6227|1023|Hotel manager|1952-08-19|67574524011|adults_50up_male_rural.json|43b29e478f6d16b9444c02573a865330|2023-05-16|10:37:39|1684226259|shopping_net|47.63|0|fraud_Streich, Dietrich and Barton|29.630102|-97.816604
474-78-4359|2463425073305596|John|Thomas|M|7598 Madison Rue Apt. 991|Smiley|TX|78159|29.2655|-97.6227|1023|Hotel manager|1952-08-19|67574524011|adults_50up_male_rural.json|933aceceb44bed131119ec20b47953b5|2023-05-27|01:24:06|1685143446|shopping_pos|90.53|0|fraud_Pouros-Conroy|29.545752|-97.030828
474-78-4359|2463425073305596|John|Thomas|M|7598 Madison Rue Apt. 991|Smiley|TX|78159|29.2655|-97.6227|1023|Hotel manager|1952-08-19|67574524011|adults_50up_male_rural.json|2794e401c982e93864480429cc0b471a|2023-01-15|11:29:56|1673778596|gas_transport|57.35|0|fraud_Robel, Cummerata and Prosacco|28.700048|-96.785034
474-78-4359|2463425073305596|John|Thomas|M|7598 Madison Rue Apt. 991|Smiley|TX|78159|29.2655|-97.6227|1023|Hotel manager|1952-08-19|67574524011|adults_50up_male_rural.json|e8e88da967b3ea05d05f929130a83424|2023-02-18|10:21:55|1676712115|gas_transport|51.13|0|fraud_Corwin-Collins|29.706465|-96.829374
474-78-4359|2463425073305596|John|Thomas|M|7598 Madison Rue Apt. 991|Smiley|TX|78159|29.2655|-97.6227|1023|Hotel manager|1952-08-19|67574524011|adults_50up_male_rural.json|b253180f0e857f3a5b7851defcb90ac2|2023-04-17|11:44:07|1681724647|misc_pos|66.91|0|fraud_Balistreri-Nader|29.542696|-96.711951
474-78-4359|2463425073305596|John|Thomas|M|7598 Madison Rue Apt. 991|Smiley|TX|78159|29.2655|-97.6227|1023|Hotel manager|1952-08-19|67574524011|adults_50up_male_rural.json|98e00685cb74959040bc8841e77946bf|2023-03-09|09:31:47|1678350707|grocery_pos|60.17|0|fraud_McDermott-Weimann|28.622466|-96.680481
474-78-4359|2463425073305596|John|Thomas|M|7598 Madison Rue Apt. 991|Smiley|TX|78159|29.2655|-97.6227|1023|Hotel manager|1952-08-19|67574524011|adults_50up_male_rural.json|f83ae5b566609396fdfe2d90a7b98628|2023-01-01|05:21:47|1672546907|gas_transport|59.99|0|fraud_Luettgen PLC|28.340021|-98.187237
474-78-4359|2463425073305596|John|Thomas|M|7598 Madison Rue Apt. 991|Smiley|TX|78159|29.2655|-97.6227|1023|Hotel manager|1952-08-19|67574524011|adults_50up_male_rural.json|c132b5f4a743d36fa6fd4b4b59b6c482|2023-04-28|01:34:28|1682638468|shopping_net|56.90|0|fraud_Gerlach Inc|28.786083|-98.565201
474-78-4359|2463425073305596|John|Thomas|M|7598 Madison Rue Apt. 991|Smiley|TX|78159|29.2655|-97.6227|1023|Hotel manager|1952-08-19|67574524011|adults_50up_male_rural.json|1f1d2eedf7c44d91dd5e40a99e3b8c68|2023-06-02|01:50:44|1685663444|shopping_pos|46.92|0|fraud_Kuhn LLC|29.584850|-97.720358
474-78-4359|2463425073305596|John|Thomas|M|7598 Madison Rue Apt. 991|Smiley|TX|78159|29.2655|-97.6227|1023|Hotel manager|1952-08-19|67574524011|adults_50up_male_rural.json|942840daf451c59d8e14fe57e8fb71a1|2023-01-28|05:46:09|1674881169|gas_transport|124.44|0|fraud_Robel, Cummerata and Prosacco|29.861846|-98.057619
474-78-4359|2463425073305596|John|Thomas|M|7598 Madison Rue Apt. 991|Smiley|TX|78159|29.2655|-97.6227|1023|Hotel manager|1952-08-19|67574524011|adults_50up_male_rural.json|f8666157ef21c5f6bc6776a370a09fe4|2023-03-11|06:34:48|1678512888|grocery_pos|58.16|0|fraud_Kutch and Sons|28.782004|-98.009790
