ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|dc2abe704564209de1a558ad6e277d1d|2023-08-21|07:59:19|1692597559|grocery_net|15.89|1|fraud_Kutch Group|42.739439|-89.063647
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|d28f6cc0a94ab7bd1a18ec7756dc735b|2023-08-21|11:08:57|1692608937|grocery_pos|283.26|1|fraud_Padberg-Welch|43.424457|-89.349694
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|e6d41dbb95f4b8e534d3766098c2c2b9|2023-08-22|23:25:37|1692739537|shopping_net|834.19|1|fraud_Medhurst PLC|42.607647|-87.917085
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|ea698c5a505eb94cfa133e7848821389|2023-08-22|23:03:03|1692738183|shopping_net|936.92|1|fraud_Kuhic, Bins and Pfeffer|41.857825|-88.719853
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|403c5b51cec8ad3df87a22629ce1cd45|2023-08-21|23:47:54|1692654474|misc_net|955.41|1|fraud_McGlynn-Heathcote|42.068692|-89.063803
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|f4baf908c23ed6f0e814cecb3fef76c5|2023-08-22|23:57:00|1692741420|shopping_pos|812.37|1|fraud_Daugherty, Pouros and Beahan|42.556595|-88.447563
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|5bdbc05577e62698f9dd1254e3f4220e|2022-12-14|07:25:31|1670999131|gas_transport|34.36|0|fraud_Huels-Nolan|42.805819|-89.415127
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|1be6301f22994672928ec127004d1dbb|2023-01-27|02:27:58|1674782878|misc_net|80.29|0|fraud_Corwin-Gorczany|42.331446|-88.844508
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|28b12105222ee6d5d3c95461c08497bc|2022-12-19|04:21:22|1671420082|grocery_net|64.63|0|fraud_Dicki Ltd|42.332442|-89.649198
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|33061e1d2f1e9e3313ad126443df58ca|2023-04-02|09:37:34|1680421054|shopping_net|79.43|0|fraud_Kuhic LLC|43.050759|-87.994896
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|d8123a274471598867316c70aeb01532|2023-03-24|03:06:52|1679623612|shopping_net|65.98|0|fraud_Fisher Inc|42.388100|-89.685884
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|c803b558cdd074c603cadddefbf177d1|2022-12-03|10:57:06|1670061426|gas_transport|35.54|0|fraud_Conroy-Cruickshank|41.705102|-88.340249
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|b872317e2507f7800b4fd50cd3d6fe6d|2023-01-14|11:28:10|1673692090|grocery_pos|48.19|0|fraud_Huel, Hammes and Witting|42.887893|-89.369279
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|6835ab875d230c62823ca45733c9d6ab|2023-04-17|05:15:46|1681701346|shopping_pos|51.36|0|fraud_Pfeffer and Sons|42.139699|-88.686626
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|14001efb9c7b709598abf41a43126ea5|2023-03-07|10:03:32|1678179812|misc_pos|66.20|0|fraud_Boehm, Predovic and Reinger|41.900216|-89.130982
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|ab47a9d225a1fb653dfc091ef635f8cf|2023-05-12|07:51:57|1683870717|shopping_pos|58.06|0|fraud_Baumbach, Hodkiewicz and Walsh|41.603233|-89.555508
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|be99977bf5cc21a1f7a135701306eacd|2022-11-27|01:25:35|1669508735|gas_transport|81.31|0|fraud_Emard Inc|42.611987|-87.972029
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|81688b1edec03e81f32fcfd77cd593b1|2022-12-04|10:25:54|1670145954|gas_transport|78.69|0|fraud_Stroman, Hudson and Erdman|41.784850|-88.767613
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|f34129cfa385930d90a99ed438989fa7|2023-04-24|04:04:08|1682301848|shopping_pos|62.19|0|fraud_Roob, Conn and Tremblay|43.328642|-88.420196
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|b7d4da8730009550033a22c1b4127a5b|2023-01-01|00:18:20|1672528700|grocery_pos|60.53|0|fraud_Schoen, Kuphal and Nitzsche|42.098773|-88.280785
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|a27df9f5dda90b0ef72b577ff8b0525f|2022-12-09|02:55:32|1670550932|gas_transport|77.69|0|fraud_Huels-Nolan|42.516232|-89.253792
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|fc8fc8a6efac268d3c98f7a378c0b24b|2022-12-04|09:45:59|1670143559|gas_transport|69.39|0|fraud_Kuvalis Ltd|42.519246|-89.159138
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|49a1dceb1b5c267408df4d1ef7d8835e|2023-05-12|05:55:43|1683863743|shopping_pos|61.42|0|fraud_Schuppe, Nolan and Hoeger|42.432105|-89.462563
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|c039cd8a0d1c8be199f9fa312f16932d|2023-03-13|01:46:22|1678668382|misc_pos|45.20|0|fraud_Thiel PLC|42.714602|-89.227581
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|1fa4640bf208d0ea8be0838e621b7742|2023-03-26|09:42:59|1679816579|shopping_net|66.63|0|fraud_Schmidt and Sons|43.217261|-88.535312
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|0caa6256e0ebbf74a9c0d243f2e1f201|2023-03-18|00:01:22|1679094082|shopping_net|62.75|0|fraud_Terry-Huel|42.447511|-87.822323
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|2723b4b8c6fbc792589bd131bd03d38b|2023-05-13|01:21:32|1683933692|entertainment|35.64|0|fraud_Upton PLC|42.769643|-88.189777
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|afee4fd172031772aa2352ee8ab99091|2022-12-10|11:23:02|1670667782|gas_transport|75.90|0|fraud_Bernhard Inc|43.336238|-89.526452
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|1c7d7f91f8dce3fd4314e50b2aef5155|2023-03-17|07:34:50|1679034890|shopping_net|54.14|0|fraud_Towne, Greenholt and Koepp|42.731812|-89.134800
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|c480ff5ce416db03e3454a7d85ae5416|2022-11-14|01:45:42|1668386742|gas_transport|68.14|0|fraud_Eichmann, Bogan and Rodriguez|42.519687|-89.490648
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|82371f710314e7a767131e015745a177|2022-12-05|07:08:17|1670220497|gas_transport|55.58|0|fraud_Berge LLC|41.677984|-88.336248
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|Sharon|WI|53585|42.5194|-88.7265|2215|Information systems manager|1967-01-29|61157982007|adults_50up_female_rural.json|0e76079d376f4a98e1daa2f13b273e33|2023-05-08|08:22:28|1683526948|shopping_pos|65.14|0|fraud_Hickle Group|43.126370|-89.526741
