ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
838-86-0795|630423120389|Joy|Brown|F|700 Smith Pines Suite 840|Allentown|PA|18102|40.6068|-75.4781|166081|Retail buyer|1989-07-12|767996662339|adults_2550_female_urban.json|5d64f9fa5ca9d7bed995ae22a04fc611|2019-02-15|02:35:10|1550194510|shopping_net|354.85|1|fraud_Altenwerth, Cartwright and Koss|41.040250|-74.719927
838-86-0795|630423120389|Joy|Brown|F|700 Smith Pines Suite 840|Allentown|PA|18102|40.6068|-75.4781|166081|Retail buyer|1989-07-12|767996662339|adults_2550_female_urban.json|3df8f0cbeed4b34649a5a7bc594d9a5a|2019-02-15|01:04:08|1550189048|misc_pos|343.95|1|fraud_Boyer PLC|40.060193|-75.563071
838-86-0795|630423120389|Joy|Brown|F|700 Smith Pines Suite 840|Allentown|PA|18102|40.6068|-75.4781|166081|Retail buyer|1989-07-12|767996662339|adults_2550_female_urban.json|d04c149a97f9cf24d234e696743aa4bd|2019-02-15|00:24:28|1550186668|shopping_net|358.53|1|fraud_Labadie, Treutel and Bode|41.343739|-75.934284
838-86-0795|630423120389|Joy|Brown|F|700 Smith Pines Suite 840|Allentown|PA|18102|40.6068|-75.4781|166081|Retail buyer|1989-07-12|767996662339|adults_2550_female_urban.json|195432e94acaf96ada709bdce522690a|2019-02-15|00:37:39|1550187459|misc_net|807.37|1|fraud_Rodriguez, Yost and Jenkins|40.931985|-75.657942
838-86-0795|630423120389|Joy|Brown|F|700 Smith Pines Suite 840|Allentown|PA|18102|40.6068|-75.4781|166081|Retail buyer|1989-07-12|767996662339|adults_2550_female_urban.json|12c4cfe1394d2656eb3672158419fb82|2019-02-15|03:56:12|1550199372|shopping_net|6.50|1|fraud_Baumbach, Feeney and Morar|39.691928|-76.063470
838-86-0795|630423120389|Joy|Brown|F|700 Smith Pines Suite 840|Allentown|PA|18102|40.6068|-75.4781|166081|Retail buyer|1989-07-12|767996662339|adults_2550_female_urban.json|a5770859e38866a67351bb486096322c|2019-02-15|02:34:00|1550194440|grocery_pos|1088.56|1|fraud_Padberg-Welch|40.195898|-75.276262
838-86-0795|630423120389|Joy|Brown|F|700 Smith Pines Suite 840|Allentown|PA|18102|40.6068|-75.4781|166081|Retail buyer|1989-07-12|767996662339|adults_2550_female_urban.json|2e2d5707e000c13df8acd1920cef756d|2019-02-15|00:56:27|1550188587|shopping_net|950.28|1|fraud_Mohr-Bayer|41.081650|-76.204400
838-86-0795|630423120389|Joy|Brown|F|700 Smith Pines Suite 840|Allentown|PA|18102|40.6068|-75.4781|166081|Retail buyer|1989-07-12|767996662339|adults_2550_female_urban.json|db12aa67b96d33d4999a1b78fb28d157|2019-02-15|08:28:01|1550215681|grocery_pos|1010.55|1|fraud_Stracke-Lemke|39.931190|-74.954507
838-86-0795|630423120389|Joy|Brown|F|700 Smith Pines Suite 840|Allentown|PA|18102|40.6068|-75.4781|166081|Retail buyer|1989-07-12|767996662339|adults_2550_female_urban.json|1d11d623224bf7320f2baccb80d229ce|2019-02-15|01:20:13|1550190013|grocery_pos|872.35|1|fraud_Osinski, Ledner and Leuschke|39.870964|-75.157136
838-86-0795|630423120389|Joy|Brown|F|700 Smith Pines Suite 840|Allentown|PA|18102|40.6068|-75.4781|166081|Retail buyer|1989-07-12|767996662339|adults_2550_female_urban.json|548fdfb258586412d68236b0ffc136ff|2019-02-16|09:50:47|1550307047|entertainment|1081.82|1|fraud_Kassulke Inc|41.167567|-76.052847
838-86-0795|630423120389|Joy|Brown|F|700 Smith Pines Suite 840|Allentown|PA|18102|40.6068|-75.4781|166081|Retail buyer|1989-07-12|767996662339|adults_2550_female_urban.json|79c11cbd9f27af964a7f0f9b5576a1ef|2019-02-15|03:09:40|1550196580|shopping_net|541.11|1|fraud_Labadie, Treutel and Bode|41.574522|-74.613968
