ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
007-51-5444|3557569245937524|Tracey|Novak|F|793 Bennett Viaduct Suite 519|Ashley|MI|48806|43.1891|-84.488|1676|Engineer, communications|1959-05-14|199911954718|adults_50up_female_rural.json|27f1c7a573b83035fc2c54692861d120|2019-03-26|02:51:30|1553565090|grocery_pos|17.63|1|fraud_Kunze Inc|43.025688|-83.569533
007-51-5444|3557569245937524|Tracey|Novak|F|793 Bennett Viaduct Suite 519|Ashley|MI|48806|43.1891|-84.488|1676|Engineer, communications|1959-05-14|199911954718|adults_50up_female_rural.json|cbe59faedf9e98ee3754ac3cf168e086|2019-03-26|00:23:36|1553556216|gas_transport|344.52|1|fraud_Connelly, Reichert and Fritsch|44.080637|-85.327538
007-51-5444|3557569245937524|Tracey|Novak|F|793 Bennett Viaduct Suite 519|Ashley|MI|48806|43.1891|-84.488|1676|Engineer, communications|1959-05-14|199911954718|adults_50up_female_rural.json|f508c808e5f2c1a2b132b69182837f4f|2019-03-26|07:00:51|1553580051|grocery_pos|307.49|1|fraud_Moen, Reinger and Murphy|43.550264|-84.897542
007-51-5444|3557569245937524|Tracey|Novak|F|793 Bennett Viaduct Suite 519|Ashley|MI|48806|43.1891|-84.488|1676|Engineer, communications|1959-05-14|199911954718|adults_50up_female_rural.json|c22304e7a36b22bccba202b1d0425504|2019-03-27|22:14:36|1553721276|shopping_pos|319.41|1|fraud_Baumbach, Hodkiewicz and Walsh|42.506626|-83.907008
007-51-5444|3557569245937524|Tracey|Novak|F|793 Bennett Viaduct Suite 519|Ashley|MI|48806|43.1891|-84.488|1676|Engineer, communications|1959-05-14|199911954718|adults_50up_female_rural.json|ba1d5ade4d3bf9608375255254022d71|2019-03-26|22:05:45|1553634345|grocery_pos|297.33|1|fraud_Schamberger-O'Keefe|44.014475|-85.326927
007-51-5444|3557569245937524|Tracey|Novak|F|793 Bennett Viaduct Suite 519|Ashley|MI|48806|43.1891|-84.488|1676|Engineer, communications|1959-05-14|199911954718|adults_50up_female_rural.json|92a14f60e34091f88e9b8fd11bda963f|2019-03-27|23:37:07|1553726227|shopping_net|843.32|1|fraud_Auer-West|43.510368|-83.853222
007-51-5444|3557569245937524|Tracey|Novak|F|793 Bennett Viaduct Suite 519|Ashley|MI|48806|43.1891|-84.488|1676|Engineer, communications|1959-05-14|199911954718|adults_50up_female_rural.json|c1e9319ed9a776d5acda6a8cbd4b8340|2019-03-26|23:11:07|1553638267|grocery_pos|969.17|1|fraud_Goldner, Kovacek and Abbott|42.514143|-85.263701
007-51-5444|3557569245937524|Tracey|Novak|F|793 Bennett Viaduct Suite 519|Ashley|MI|48806|43.1891|-84.488|1676|Engineer, communications|1959-05-14|199911954718|adults_50up_female_rural.json|73affa337f43bf7dec7d5e42fec9bb00|2019-03-27|22:47:40|1553723260|shopping_net|886.19|1|fraud_Little, Gutmann and Lynch|43.156745|-84.385385
007-51-5444|3557569245937524|Tracey|Novak|F|793 Bennett Viaduct Suite 519|Ashley|MI|48806|43.1891|-84.488|1676|Engineer, communications|1959-05-14|199911954718|adults_50up_female_rural.json|d5ef3eb161a3f960d8ea3f0ce1d82a41|2017-02-27|01:40:25|1488156025|shopping_net|45.85|0|fraud_Heathcote LLC|42.463640|-85.370349
007-51-5444|3557569245937524|Tracey|Novak|F|793 Bennett Viaduct Suite 519|Ashley|MI|48806|43.1891|-84.488|1676|Engineer, communications|1959-05-14|199911954718|adults_50up_female_rural.json|9136010a685760fb27c89bdf21e6ab09|2016-12-21|08:36:21|1482305781|shopping_net|73.14|0|fraud_Kozey-Boehm|43.624300|-83.889678
007-51-5444|3557569245937524|Tracey|Novak|F|793 Bennett Viaduct Suite 519|Ashley|MI|48806|43.1891|-84.488|1676|Engineer, communications|1959-05-14|199911954718|adults_50up_female_rural.json|56853612c11484f84a64f81c3a2c39d2|2015-08-05|04:59:42|1438743582|gas_transport|67.04|0|fraud_Heller-Langosh|43.657198|-84.626827
007-51-5444|3557569245937524|Tracey|Novak|F|793 Bennett Viaduct Suite 519|Ashley|MI|48806|43.1891|-84.488|1676|Engineer, communications|1959-05-14|199911954718|adults_50up_female_rural.json|6f2851a5b152be17f6dfc6e1974d1041|2015-08-13|04:03:19|1439431399|gas_transport|72.18|0|fraud_Jenkins, Hauck and Friesen|43.129850|-84.099831
007-51-5444|3557569245937524|Tracey|Novak|F|793 Bennett Viaduct Suite 519|Ashley|MI|48806|43.1891|-84.488|1676|Engineer, communications|1959-05-14|199911954718|adults_50up_female_rural.json|21b6e84d6cdab0c2b196e9fc0674efe2|2015-07-15|04:59:39|1436929179|gas_transport|72.71|0|fraud_Kling Inc|43.491676|-84.108763
007-51-5444|3557569245937524|Tracey|Novak|F|793 Bennett Viaduct Suite 519|Ashley|MI|48806|43.1891|-84.488|1676|Engineer, communications|1959-05-14|199911954718|adults_50up_female_rural.json|e6e9ebdb11c43a43729a60c2dc134067|2016-04-30|02:13:12|1461975192|misc_net|60.62|0|fraud_Kerluke, Kertzmann and Wiza|43.937424|-83.510104
007-51-5444|3557569245937524|Tracey|Novak|F|793 Bennett Viaduct Suite 519|Ashley|MI|48806|43.1891|-84.488|1676|Engineer, communications|1959-05-14|199911954718|adults_50up_female_rural.json|07e5e81c9d10554d8a59d1b1af2c731d|2016-06-30|06:58:06|1467262686|misc_net|49.70|0|fraud_Jaskolski-Vandervort|42.765284|-84.396931
