ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
447-94-9708|4314737996507527356|Rebecca|Peterson|F|083 John Lodge Suite 837|Johnson City|TN|37604|36.3107|-82.381|92094|Recycling officer|1952-10-26|869508288813|adults_50up_female_urban.json|cbb29b3509147b4e07c78dd510395bc4|2016-12-25|01:40:41|1482626441|grocery_pos|282.12|1|fraud_Rowe, Batz and Goodwin|36.902713|-82.549987
447-94-9708|4314737996507527356|Rebecca|Peterson|F|083 John Lodge Suite 837|Johnson City|TN|37604|36.3107|-82.381|92094|Recycling officer|1952-10-26|869508288813|adults_50up_female_urban.json|a3393b85d91a6a722a697cb81aec24e8|2016-12-25|01:08:27|1482624507|grocery_pos|339.42|1|fraud_Barton Inc|36.668532|-81.384470
447-94-9708|4314737996507527356|Rebecca|Peterson|F|083 John Lodge Suite 837|Johnson City|TN|37604|36.3107|-82.381|92094|Recycling officer|1952-10-26|869508288813|adults_50up_female_urban.json|7ad3d4cbf08e41f344caf5499941697b|2016-12-25|01:50:33|1482627033|grocery_pos|316.11|1|fraud_Pacocha-O'Reilly|36.197174|-81.886271
447-94-9708|4314737996507527356|Rebecca|Peterson|F|083 John Lodge Suite 837|Johnson City|TN|37604|36.3107|-82.381|92094|Recycling officer|1952-10-26|869508288813|adults_50up_female_urban.json|05242f9ec16308a97aecd5b823f341fd|2016-12-25|01:54:40|1482627280|grocery_pos|291.60|1|fraud_Kutch and Sons|36.505760|-82.914251
447-94-9708|4314737996507527356|Rebecca|Peterson|F|083 John Lodge Suite 837|Johnson City|TN|37604|36.3107|-82.381|92094|Recycling officer|1952-10-26|869508288813|adults_50up_female_urban.json|47fbbf859b37858e485e0c81e472ce5e|2016-12-26|23:06:19|1482789979|shopping_pos|854.26|1|fraud_Bernhard, Grant and Langworth|37.031226|-82.654606
447-94-9708|4314737996507527356|Rebecca|Peterson|F|083 John Lodge Suite 837|Johnson City|TN|37604|36.3107|-82.381|92094|Recycling officer|1952-10-26|869508288813|adults_50up_female_urban.json|434b07ea45c60c2d3f2e4265bd4f89d3|2016-12-26|22:23:33|1482787413|shopping_net|914.72|1|fraud_Stamm-Witting|36.484015|-82.820282
447-94-9708|4314737996507527356|Rebecca|Peterson|F|083 John Lodge Suite 837|Johnson City|TN|37604|36.3107|-82.381|92094|Recycling officer|1952-10-26|869508288813|adults_50up_female_urban.json|0ce56fb5725d41ad60bec1670bb23c79|2016-12-25|23:40:41|1482705641|misc_net|915.21|1|fraud_Bogisich-Homenick|35.495684|-82.786394
723-49-6326|4702895171870260|Shelby|Booker|F|4596 Melissa Walk|Chicago|IL|60601|41.8858|-87.6181|2680484|Social research officer, government|1963-02-03|688554816658|adults_50up_female_urban.json|ae13df937b5ba86a8569042754e1148f|2017-10-03|02:28:34|1506990514|grocery_pos|301.27|1|fraud_Pacocha-O'Reilly|42.356305|-87.292652
723-49-6326|4702895171870260|Shelby|Booker|F|4596 Melissa Walk|Chicago|IL|60601|41.8858|-87.6181|2680484|Social research officer, government|1963-02-03|688554816658|adults_50up_female_urban.json|e5c244fb026dbaeff1fccaedb902be53|2017-10-03|00:59:02|1506985142|grocery_pos|316.84|1|fraud_Rau and Sons|42.420922|-87.463790
723-49-6326|4702895171870260|Shelby|Booker|F|4596 Melissa Walk|Chicago|IL|60601|41.8858|-87.6181|2680484|Social research officer, government|1963-02-03|688554816658|adults_50up_female_urban.json|481f9d408c63af6d5f3ac7cf216ae017|2017-10-03|18:07:03|1507046823|misc_net|274.18|1|fraud_Block-Parisian|41.922339|-87.376506
