ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
766-62-3506|4842199330839|Mark|Williams|M|7120 Richard Wells Suite 734|Eolia|MO|63344|39.2431|-91.0093|1663|IT sales professional|1960-09-21|709895453406|adults_50up_male_rural.json|8391093975a787e919f5b822996500e5|2016-12-08|02:05:00|1481159100|gas_transport|18.40|1|fraud_Brekke and Sons|38.804849|-90.068343
766-62-3506|4842199330839|Mark|Williams|M|7120 Richard Wells Suite 734|Eolia|MO|63344|39.2431|-91.0093|1663|IT sales professional|1960-09-21|709895453406|adults_50up_male_rural.json|90a6798c0264cadd29d7b538ca29a1a3|2016-12-08|01:47:26|1481158046|gas_transport|22.40|1|fraud_Robel, Cummerata and Prosacco|39.247071|-91.125676
766-62-3506|4842199330839|Mark|Williams|M|7120 Richard Wells Suite 734|Eolia|MO|63344|39.2431|-91.0093|1663|IT sales professional|1960-09-21|709895453406|adults_50up_male_rural.json|2460846af751012ddd72fce79d76b932|2016-12-08|02:58:12|1481162292|grocery_pos|316.65|1|fraud_Koepp-Parker|38.662569|-91.873457
766-62-3506|4842199330839|Mark|Williams|M|7120 Richard Wells Suite 734|Eolia|MO|63344|39.2431|-91.0093|1663|IT sales professional|1960-09-21|709895453406|adults_50up_male_rural.json|0929ee65846a10d9177e75159bbfe742|2016-12-09|23:25:49|1481322349|shopping_net|916.08|1|fraud_Towne, Greenholt and Koepp|40.096795|-91.880445
766-62-3506|4842199330839|Mark|Williams|M|7120 Richard Wells Suite 734|Eolia|MO|63344|39.2431|-91.0093|1663|IT sales professional|1960-09-21|709895453406|adults_50up_male_rural.json|2f6a5093ff88d4395a517bc74f008672|2016-12-09|22:20:32|1481318432|shopping_net|796.56|1|fraud_Reichert, Shanahan and Hayes|38.668768|-91.888693
766-62-3506|4842199330839|Mark|Williams|M|7120 Richard Wells Suite 734|Eolia|MO|63344|39.2431|-91.0093|1663|IT sales professional|1960-09-21|709895453406|adults_50up_male_rural.json|90045e491a08de77a1372b1fc96b7141|2016-12-09|23:44:11|1481323451|shopping_net|616.66|1|fraud_Mohr-Bayer|38.859248|-90.125385
766-62-3506|4842199330839|Mark|Williams|M|7120 Richard Wells Suite 734|Eolia|MO|63344|39.2431|-91.0093|1663|IT sales professional|1960-09-21|709895453406|adults_50up_male_rural.json|0fea29c7942c06982b6a7cf3316a6877|2016-12-09|22:37:23|1481319443|misc_net|909.92|1|fraud_Kerluke PLC|39.105249|-91.322084
766-62-3506|4842199330839|Mark|Williams|M|7120 Richard Wells Suite 734|Eolia|MO|63344|39.2431|-91.0093|1663|IT sales professional|1960-09-21|709895453406|adults_50up_male_rural.json|0e2f772ec9adbc86e26afe6f670b2280|2016-12-09|18:40:10|1481305210|misc_net|1148.57|1|fraud_Block-Parisian|39.074266|-91.788851
766-62-3506|4842199330839|Mark|Williams|M|7120 Richard Wells Suite 734|Eolia|MO|63344|39.2431|-91.0093|1663|IT sales professional|1960-09-21|709895453406|adults_50up_male_rural.json|369b0f11e730a6c8331beea58bd15985|2016-12-09|23:43:54|1481323434|personal_care|1235.44|1|fraud_Rolfson-Kunde|38.830365|-91.327495
766-62-3506|4842199330839|Mark|Williams|M|7120 Richard Wells Suite 734|Eolia|MO|63344|39.2431|-91.0093|1663|IT sales professional|1960-09-21|709895453406|adults_50up_male_rural.json|e3dee9584720de8d0b0459622a2976af|2016-12-09|23:01:50|1481320910|shopping_net|1150.28|1|fraud_Gottlieb, Considine and Schultz|38.790579|-90.211927
766-62-3506|4842199330839|Mark|Williams|M|7120 Richard Wells Suite 734|Eolia|MO|63344|39.2431|-91.0093|1663|IT sales professional|1960-09-21|709895453406|adults_50up_male_rural.json|c581448938ec5e22fbbfa9862a87724b|2016-12-09|23:41:33|1481323293|shopping_net|863.08|1|fraud_Gleason-Macejkovic|38.265439|-90.788081
766-62-3506|4842199330839|Mark|Williams|M|7120 Richard Wells Suite 734|Eolia|MO|63344|39.2431|-91.0093|1663|IT sales professional|1960-09-21|709895453406|adults_50up_male_rural.json|ba43bc6c4645880deb5fc40c4e4c071f|2016-12-09|22:03:22|1481317402|shopping_net|1048.91|1|fraud_Schumm PLC|39.566447|-91.113379
766-62-3506|4842199330839|Mark|Williams|M|7120 Richard Wells Suite 734|Eolia|MO|63344|39.2431|-91.0093|1663|IT sales professional|1960-09-21|709895453406|adults_50up_male_rural.json|3b5ac1053575f648925f22ceb4fdd4bd|2016-12-09|22:45:30|1481319930|misc_net|51.64|1|fraud_Lehner, Mosciski and King|38.346016|-91.869607
