ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
312-11-4067|2706999386774968|Eric|Oliver|M|34123 Andrea Estate|New Braunfels|TX|78130|29.7229|-98.0742|78685|Accountant, chartered|1949-02-24|495675808653|adults_50up_male_urban.json|cf720f5e36d20a50a3aa416cb63edb9f|2015-10-24|02:43:19|1445647399|grocery_pos|289.51|1|fraud_Huel, Hammes and Witting|29.411961|-97.953934
312-11-4067|2706999386774968|Eric|Oliver|M|34123 Andrea Estate|New Braunfels|TX|78130|29.7229|-98.0742|78685|Accountant, chartered|1949-02-24|495675808653|adults_50up_male_urban.json|99973cdea24fc273dbeb7918b5c6ba47|2015-10-25|22:25:52|1445808352|shopping_pos|858.42|1|fraud_Mayert Group|29.964212|-98.982462
312-11-4067|2706999386774968|Eric|Oliver|M|34123 Andrea Estate|New Braunfels|TX|78130|29.7229|-98.0742|78685|Accountant, chartered|1949-02-24|495675808653|adults_50up_male_urban.json|a6665de41f62c2f1621fc06379e34fdf|2015-10-24|22:48:03|1445719683|misc_net|749.07|1|fraud_Kuphal-Predovic|30.410471|-97.657443
312-11-4067|2706999386774968|Eric|Oliver|M|34123 Andrea Estate|New Braunfels|TX|78130|29.7229|-98.0742|78685|Accountant, chartered|1949-02-24|495675808653|adults_50up_male_urban.json|5c7d6f0f5f8df50d38cec5558e0f2e22|2015-10-24|22:25:26|1445718326|misc_net|802.48|1|fraud_Rodriguez, Yost and Jenkins|29.840845|-98.690868
312-11-4067|2706999386774968|Eric|Oliver|M|34123 Andrea Estate|New Braunfels|TX|78130|29.7229|-98.0742|78685|Accountant, chartered|1949-02-24|495675808653|adults_50up_male_urban.json|2b537c206d45b5e62238132c01a3e7e1|2015-10-24|16:43:15|1445697795|misc_net|728.45|1|fraud_Johnson, Runolfsdottir and Mayer|30.617493|-97.969679
312-11-4067|2706999386774968|Eric|Oliver|M|34123 Andrea Estate|New Braunfels|TX|78130|29.7229|-98.0742|78685|Accountant, chartered|1949-02-24|495675808653|adults_50up_male_urban.json|639f7fe27e599cd721855e1bf849865e|2015-10-25|20:06:51|1445800011|shopping_net|910.59|1|fraud_Schmeler, Bashirian and Price|29.223899|-97.819641
312-11-4067|2706999386774968|Eric|Oliver|M|34123 Andrea Estate|New Braunfels|TX|78130|29.7229|-98.0742|78685|Accountant, chartered|1949-02-24|495675808653|adults_50up_male_urban.json|a0ea9bbd2993d0d8ceac639d3e05c627|2015-10-25|22:44:23|1445809463|misc_net|923.85|1|fraud_Volkman Ltd|29.329424|-97.217933
312-11-4067|2706999386774968|Eric|Oliver|M|34123 Andrea Estate|New Braunfels|TX|78130|29.7229|-98.0742|78685|Accountant, chartered|1949-02-24|495675808653|adults_50up_male_urban.json|f91bdb4dd5a6ff95d4c52e673ad012f4|2015-10-25|23:08:44|1445810924|entertainment|394.45|1|fraud_Hoppe, Harris and Bednar|28.823738|-98.053356
312-11-4067|2706999386774968|Eric|Oliver|M|34123 Andrea Estate|New Braunfels|TX|78130|29.7229|-98.0742|78685|Accountant, chartered|1949-02-24|495675808653|adults_50up_male_urban.json|db82b4eb69b715f63dd2b8ccce90397c|2016-01-03|05:21:00|1451794860|grocery_pos|73.64|0|fraud_Heller, Gutmann and Zieme|30.106930|-97.969741
312-11-4067|2706999386774968|Eric|Oliver|M|34123 Andrea Estate|New Braunfels|TX|78130|29.7229|-98.0742|78685|Accountant, chartered|1949-02-24|495675808653|adults_50up_male_urban.json|f8a3817ccee586fddfcac02ae998a157|2015-12-15|00:12:56|1450134776|grocery_pos|58.17|0|fraud_Cartwright-Harris|30.545017|-97.435550
312-11-4067|2706999386774968|Eric|Oliver|M|34123 Andrea Estate|New Braunfels|TX|78130|29.7229|-98.0742|78685|Accountant, chartered|1949-02-24|495675808653|adults_50up_male_urban.json|ab457a2599ca9a45e8093ce0e8761469|2016-10-29|07:46:49|1477720009|shopping_net|85.10|0|fraud_Lemke-Gutmann|28.860857|-98.620765
312-11-4067|2706999386774968|Eric|Oliver|M|34123 Andrea Estate|New Braunfels|TX|78130|29.7229|-98.0742|78685|Accountant, chartered|1949-02-24|495675808653|adults_50up_male_urban.json|a6eb894ae1b682f6c48cec0abec38f83|2017-08-13|09:20:58|1502608858|entertainment|47.82|0|fraud_Hoppe, Harris and Bednar|29.783733|-98.116932
312-11-4067|2706999386774968|Eric|Oliver|M|34123 Andrea Estate|New Braunfels|TX|78130|29.7229|-98.0742|78685|Accountant, chartered|1949-02-24|495675808653|adults_50up_male_urban.json|ef357ce53a20c4def3fa183f6f176950|2016-06-25|03:40:04|1466818804|misc_pos|63.80|0|fraud_Cremin, Hamill and Reichel|29.668868|-97.105033
312-11-4067|2706999386774968|Eric|Oliver|M|34123 Andrea Estate|New Braunfels|TX|78130|29.7229|-98.0742|78685|Accountant, chartered|1949-02-24|495675808653|adults_50up_male_urban.json|6e4a7a0bbc152fffba1a720c03076c5c|2016-10-29|09:25:27|1477725927|shopping_net|79.00|0|fraud_Lemke-Gutmann|29.371147|-97.593094
