ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
869-59-1502|4900532931839331|Erin|Hernandez|F|2284 Daniel Way|Henderson|CO|80640|39.8983|-104.8718|11054|Agricultural engineer|2003-02-27|13450992449|young_adults_female_urban.json|a0cbb01951938c2cee03c97056440b0f|2017-06-30|01:12:28|1498777948|misc_net|8.96|1|fraud_Greenfelder, Bartoletti and Davis|39.814808|-104.521360
869-59-1502|4900532931839331|Erin|Hernandez|F|2284 Daniel Way|Henderson|CO|80640|39.8983|-104.8718|11054|Agricultural engineer|2003-02-27|13450992449|young_adults_female_urban.json|46d0f9cbe4340c194ea8acd49ba9e755|2017-06-30|02:56:17|1498784177|grocery_pos|8.23|1|fraud_Doyle Ltd|40.479537|-105.494357
869-59-1502|4900532931839331|Erin|Hernandez|F|2284 Daniel Way|Henderson|CO|80640|39.8983|-104.8718|11054|Agricultural engineer|2003-02-27|13450992449|young_adults_female_urban.json|2f5b27b481ead7c20b8257e76faa00d3|2017-06-29|02:43:46|1498697026|gas_transport|296.75|1|fraud_Heller-Langosh|39.227973|-105.346249
869-59-1502|4900532931839331|Erin|Hernandez|F|2284 Daniel Way|Henderson|CO|80640|39.8983|-104.8718|11054|Agricultural engineer|2003-02-27|13450992449|young_adults_female_urban.json|b9560b8033cb274926a33f462a79529a|2017-06-29|03:18:26|1498699106|grocery_net|275.95|1|fraud_Roob LLC|40.317134|-103.971373
869-59-1502|4900532931839331|Erin|Hernandez|F|2284 Daniel Way|Henderson|CO|80640|39.8983|-104.8718|11054|Agricultural engineer|2003-02-27|13450992449|young_adults_female_urban.json|9b5b7753d765c0ecfd2b8836445c2afe|2017-06-29|02:11:10|1498695070|grocery_pos|289.11|1|fraud_Lockman Ltd|39.359950|-105.170128
869-59-1502|4900532931839331|Erin|Hernandez|F|2284 Daniel Way|Henderson|CO|80640|39.8983|-104.8718|11054|Agricultural engineer|2003-02-27|13450992449|young_adults_female_urban.json|2041a958abd7f00ff1a18efd7fd4341a|2017-06-30|02:00:36|1498780836|misc_net|298.20|1|fraud_Kerluke Inc|39.090105|-104.476390
869-59-1502|4900532931839331|Erin|Hernandez|F|2284 Daniel Way|Henderson|CO|80640|39.8983|-104.8718|11054|Agricultural engineer|2003-02-27|13450992449|young_adults_female_urban.json|0d95aac85dff8f59c1f53297c21cd55d|2017-06-30|03:32:08|1498786328|misc_net|735.59|1|fraud_McGlynn-Heathcote|40.790039|-105.835002
869-59-1502|4900532931839331|Erin|Hernandez|F|2284 Daniel Way|Henderson|CO|80640|39.8983|-104.8718|11054|Agricultural engineer|2003-02-27|13450992449|young_adults_female_urban.json|1d177e47422f3e7a7019bffd283aba29|2017-06-29|01:19:29|1498691969|grocery_pos|925.68|1|fraud_Mosciski, Gislason and Mertz|39.292881|-105.323192
869-59-1502|4900532931839331|Erin|Hernandez|F|2284 Daniel Way|Henderson|CO|80640|39.8983|-104.8718|11054|Agricultural engineer|2003-02-27|13450992449|young_adults_female_urban.json|79885f1516923520c6bb25ce56176fd1|2017-06-29|01:13:18|1498691598|grocery_pos|673.96|1|fraud_Koepp-Parker|39.619748|-105.594810
869-59-1502|4900532931839331|Erin|Hernandez|F|2284 Daniel Way|Henderson|CO|80640|39.8983|-104.8718|11054|Agricultural engineer|2003-02-27|13450992449|young_adults_female_urban.json|b3e4c0934aded74a114f161654acc825|2017-06-30|23:32:47|1498858367|shopping_net|731.16|1|fraud_Altenwerth, Cartwright and Koss|38.966539|-104.382765
869-59-1502|4900532931839331|Erin|Hernandez|F|2284 Daniel Way|Henderson|CO|80640|39.8983|-104.8718|11054|Agricultural engineer|2003-02-27|13450992449|young_adults_female_urban.json|7321bc61e34fab805ac6c8fe85859e36|2017-06-30|23:10:51|1498857051|shopping_pos|1141.48|1|fraud_Watsica, Haag and Considine|39.014278|-104.312245
869-59-1502|4900532931839331|Erin|Hernandez|F|2284 Daniel Way|Henderson|CO|80640|39.8983|-104.8718|11054|Agricultural engineer|2003-02-27|13450992449|young_adults_female_urban.json|6058e75402c28e254907097beef83474|2017-06-30|15:16:49|1498828609|kids_pets|1045.43|1|fraud_Hoppe-Parisian|40.149948|-105.732904
869-59-1502|4900532931839331|Erin|Hernandez|F|2284 Daniel Way|Henderson|CO|80640|39.8983|-104.8718|11054|Agricultural engineer|2003-02-27|13450992449|young_adults_female_urban.json|889401911439567164da73e983cfecb8|2017-06-30|22:17:15|1498853835|shopping_net|799.18|1|fraud_Ruecker, Beer and Collier|39.387559|-104.209630
869-59-1502|4900532931839331|Erin|Hernandez|F|2284 Daniel Way|Henderson|CO|80640|39.8983|-104.8718|11054|Agricultural engineer|2003-02-27|13450992449|young_adults_female_urban.json|7601336810ce9a3662260d990e8f1612|2017-06-30|17:25:59|1498836359|misc_net|19.64|1|fraud_Stehr, Jewess and Schimmel|40.139344|-105.788938
869-59-1502|4900532931839331|Erin|Hernandez|F|2284 Daniel Way|Henderson|CO|80640|39.8983|-104.8718|11054|Agricultural engineer|2003-02-27|13450992449|young_adults_female_urban.json|1c7bd55b0119a2fe25f98080fff9d72c|2015-08-15|11:13:04|1439629984|gas_transport|62.30|0|fraud_Harris Inc|40.813965|-104.264616
869-59-1502|4900532931839331|Erin|Hernandez|F|2284 Daniel Way|Henderson|CO|80640|39.8983|-104.8718|11054|Agricultural engineer|2003-02-27|13450992449|young_adults_female_urban.json|c4f8ae9533fc7116fd531a93e9b6c5e2|2015-02-05|06:22:23|1423113743|gas_transport|57.82|0|fraud_Kutch LLC|40.567999|-104.191290
869-59-1502|4900532931839331|Erin|Hernandez|F|2284 Daniel Way|Henderson|CO|80640|39.8983|-104.8718|11054|Agricultural engineer|2003-02-27|13450992449|young_adults_female_urban.json|6763cd8809b71242d706cc3651a42e4e|2015-06-04|01:34:53|1433374493|gas_transport|72.57|0|fraud_Harris Inc|40.117895|-104.685808
869-59-1502|4900532931839331|Erin|Hernandez|F|2284 Daniel Way|Henderson|CO|80640|39.8983|-104.8718|11054|Agricultural engineer|2003-02-27|13450992449|young_adults_female_urban.json|1c3db1055f781db83b161467c35c1371|2015-05-20|01:50:29|1432079429|gas_transport|60.64|0|fraud_Harris Inc|40.557887|-104.703802
869-59-1502|4900532931839331|Erin|Hernandez|F|2284 Daniel Way|Henderson|CO|80640|39.8983|-104.8718|11054|Agricultural engineer|2003-02-27|13450992449|young_adults_female_urban.json|db59bdbffb242c1627eb63a5298d5623|2015-08-28|10:50:44|1440751844|gas_transport|66.14|0|fraud_Huels-Nolan|39.644165|-105.221361
869-59-1502|4900532931839331|Erin|Hernandez|F|2284 Daniel Way|Henderson|CO|80640|39.8983|-104.8718|11054|Agricultural engineer|2003-02-27|13450992449|young_adults_female_urban.json|17ae0f9a21e507a547fac1be945423e4|2015-07-08|04:22:35|1436322155|gas_transport|42.53|0|fraud_Schaefer, McGlynn and Bosco|39.423969|-104.199543
869-59-1502|4900532931839331|Erin|Hernandez|F|2284 Daniel Way|Henderson|CO|80640|39.8983|-104.8718|11054|Agricultural engineer|2003-02-27|13450992449|young_adults_female_urban.json|5fc93540e1e6274b47c18d6db231ea9b|2015-10-18|00:38:47|1445121527|grocery_net|80.05|0|fraud_Adams, Kovacek and Kuhlman|39.834556|-105.858680
869-59-1502|4900532931839331|Erin|Hernandez|F|2284 Daniel Way|Henderson|CO|80640|39.8983|-104.8718|11054|Agricultural engineer|2003-02-27|13450992449|young_adults_female_urban.json|2245623448b9ce72fd44f6b89c3459e8|2015-09-11|03:56:54|1441936614|gas_transport|61.84|0|fraud_Stroman, Hudson and Erdman|39.633583|-103.988013
869-59-1502|4900532931839331|Erin|Hernandez|F|2284 Daniel Way|Henderson|CO|80640|39.8983|-104.8718|11054|Agricultural engineer|2003-02-27|13450992449|young_adults_female_urban.json|5f154c318dccafe2ffa05c2a308068e1|2015-06-12|01:47:30|1434066450|gas_transport|39.23|0|fraud_Stroman, Hudson and Erdman|39.983803|-103.963809
869-59-1502|4900532931839331|Erin|Hernandez|F|2284 Daniel Way|Henderson|CO|80640|39.8983|-104.8718|11054|Agricultural engineer|2003-02-27|13450992449|young_adults_female_urban.json|321b9e5faea465e5b5d25feacc7d7fe9|2015-05-08|11:10:26|1431076226|gas_transport|69.71|0|fraud_Harber Inc|39.441993|-105.291733
869-59-1502|4900532931839331|Erin|Hernandez|F|2284 Daniel Way|Henderson|CO|80640|39.8983|-104.8718|11054|Agricultural engineer|2003-02-27|13450992449|young_adults_female_urban.json|f89c6314e406bb38e707e928c87fa063|2015-05-03|02:11:53|1430611913|gas_transport|62.82|0|fraud_Bins-Rice|39.105561|-104.616563
869-59-1502|4900532931839331|Erin|Hernandez|F|2284 Daniel Way|Henderson|CO|80640|39.8983|-104.8718|11054|Agricultural engineer|2003-02-27|13450992449|young_adults_female_urban.json|ac2603093bce5b9bfa73608356d35e1c|2015-02-10|03:49:14|1423536554|gas_transport|62.29|0|fraud_Sporer Inc|39.955094|-104.400125
869-59-1502|4900532931839331|Erin|Hernandez|F|2284 Daniel Way|Henderson|CO|80640|39.8983|-104.8718|11054|Agricultural engineer|2003-02-27|13450992449|young_adults_female_urban.json|dc6b92fc26bee78b7ef9a828f19a915a|2015-06-14|09:38:26|1434267506|gas_transport|38.65|0|fraud_Raynor, Reinger and Hagenes|40.658219|-104.604267
869-59-1502|4900532931839331|Erin|Hernandez|F|2284 Daniel Way|Henderson|CO|80640|39.8983|-104.8718|11054|Agricultural engineer|2003-02-27|13450992449|young_adults_female_urban.json|1e5399eb89e724da4cbb600ea73fbad7|2015-12-14|01:42:59|1450053779|grocery_pos|81.90|0|fraud_Miller-Hauck|40.612250|-105.526457
