ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
872-21-2853|341323705895781|Carlos|Henson|M|6786 Morrow Cliffs|Grove City|PA|16127|41.1607|-80.0841|16145|Comptroller|2002-03-16|352068690122|young_adults_male_urban.json|397258bce3cc0bf760cd20cafb129646|2016-05-27|02:54:10|1464310450|misc_net|322.10|1|fraud_Johnson, Runolfsdottir and Mayer|40.784060|-81.061011
872-21-2853|341323705895781|Carlos|Henson|M|6786 Morrow Cliffs|Grove City|PA|16127|41.1607|-80.0841|16145|Comptroller|2002-03-16|352068690122|young_adults_male_urban.json|efad0687890a18104e8f45fd4e0cc37b|2016-05-26|03:25:32|1464225932|grocery_pos|788.14|1|fraud_O'Keefe-Hudson|41.726570|-81.067934
872-21-2853|341323705895781|Carlos|Henson|M|6786 Morrow Cliffs|Grove City|PA|16127|41.1607|-80.0841|16145|Comptroller|2002-03-16|352068690122|young_adults_male_urban.json|035ec4f1d8d2727fb9cbfc93918a20f9|2016-05-27|22:27:09|1464380829|shopping_net|7.90|1|fraud_Heathcote, Yost and Kertzmann|40.630297|-80.004401
872-21-2853|341323705895781|Carlos|Henson|M|6786 Morrow Cliffs|Grove City|PA|16127|41.1607|-80.0841|16145|Comptroller|2002-03-16|352068690122|young_adults_male_urban.json|08d348b8326875559ff1f132827553fc|2016-05-27|22:40:40|1464381640|shopping_net|974.14|1|fraud_Reichert, Shanahan and Hayes|42.023155|-80.975851
872-21-2853|341323705895781|Carlos|Henson|M|6786 Morrow Cliffs|Grove City|PA|16127|41.1607|-80.0841|16145|Comptroller|2002-03-16|352068690122|young_adults_male_urban.json|68da042eebbf0587ffa9dbd32d3d80a3|2016-05-27|17:50:14|1464364214|shopping_net|922.83|1|fraud_Hills-Witting|41.296471|-79.435764
872-21-2853|341323705895781|Carlos|Henson|M|6786 Morrow Cliffs|Grove City|PA|16127|41.1607|-80.0841|16145|Comptroller|2002-03-16|352068690122|young_adults_male_urban.json|170e77513c73529ac443888a3cbc9135|2016-05-27|18:47:16|1464367636|food_dining|959.94|1|fraud_Schulist Ltd|41.408143|-80.258288
872-21-2853|341323705895781|Carlos|Henson|M|6786 Morrow Cliffs|Grove City|PA|16127|41.1607|-80.0841|16145|Comptroller|2002-03-16|352068690122|young_adults_male_urban.json|b04e37fef1edf0535143de503d4e810b|2016-05-27|14:42:31|1464352951|shopping_net|878.49|1|fraud_Lemke-Gutmann|41.362467|-79.764795
872-21-2853|341323705895781|Carlos|Henson|M|6786 Morrow Cliffs|Grove City|PA|16127|41.1607|-80.0841|16145|Comptroller|2002-03-16|352068690122|young_adults_male_urban.json|753e031665a4d18dcc845de1b012360e|2016-05-27|23:16:28|1464383788|shopping_net|1011.89|1|fraud_Reichert, Huels and Hoppe|41.911713|-79.611539
872-21-2853|341323705895781|Carlos|Henson|M|6786 Morrow Cliffs|Grove City|PA|16127|41.1607|-80.0841|16145|Comptroller|2002-03-16|352068690122|young_adults_male_urban.json|b829f6ae89cf72a513dd79c467dd461a|2016-05-27|22:04:41|1464379481|shopping_pos|711.41|1|fraud_Watsica, Haag and Considine|40.213134|-79.243494
872-21-2853|341323705895781|Carlos|Henson|M|6786 Morrow Cliffs|Grove City|PA|16127|41.1607|-80.0841|16145|Comptroller|2002-03-16|352068690122|young_adults_male_urban.json|5905b628d54a35afb27e7b4b1ec2b64a|2016-05-27|20:31:49|1464373909|kids_pets|709.43|1|fraud_Windler LLC|41.134846|-80.766805
872-21-2853|341323705895781|Carlos|Henson|M|6786 Morrow Cliffs|Grove City|PA|16127|41.1607|-80.0841|16145|Comptroller|2002-03-16|352068690122|young_adults_male_urban.json|63db62b35e2d8bfdd485bd37d2120703|2016-05-27|22:18:00|1464380280|kids_pets|112.86|1|fraud_Bednar PLC|41.050812|-80.347204
872-21-2853|341323705895781|Carlos|Henson|M|6786 Morrow Cliffs|Grove City|PA|16127|41.1607|-80.0841|16145|Comptroller|2002-03-16|352068690122|young_adults_male_urban.json|f4a398484c93b7f284a2eadc667a758f|2016-05-27|21:17:57|1464376677|misc_pos|17.88|1|fraud_Roberts-Beahan|41.858047|-79.281029
872-21-2853|341323705895781|Carlos|Henson|M|6786 Morrow Cliffs|Grove City|PA|16127|41.1607|-80.0841|16145|Comptroller|2002-03-16|352068690122|young_adults_male_urban.json|a1c8827e4ba42c614a0235dbefbbe7cc|2016-05-27|22:48:11|1464382091|shopping_pos|19.28|1|fraud_Metz-Boehm|41.693625|-80.411095
